Date	Sentiment
05/10/2014 20:13	Negative
05/10/2014 20:13	Positive
05/10/2014 20:13	Positive
05/10/2014 20:12	Neutral
05/10/2014 20:12	Positive
05/10/2014 20:12	Negative
05/10/2014 20:12	Negative
05/10/2014 20:12	Positive
05/10/2014 20:12	Negative
05/10/2014 20:11	Neutral
05/10/2014 20:11	Positive
05/10/2014 20:11	Positive
05/10/2014 20:11	Neutral
05/10/2014 20:11	Negative
05/10/2014 20:11	Negative
05/10/2014 20:11	Positive
05/10/2014 20:11	Negative
05/10/2014 20:11	Neutral
05/10/2014 20:11	Positive
05/10/2014 20:10	Negative
05/10/2014 20:10	Positive
05/10/2014 20:10	Positive
05/10/2014 20:10	Positive
05/10/2014 20:10	Positive
05/10/2014 20:10	Positive
05/10/2014 20:10	Negative
05/10/2014 20:10	Negative
05/10/2014 20:10	Positive
05/10/2014 20:10	Positive
05/10/2014 20:10	Negative
05/10/2014 20:09	Positive
05/10/2014 20:09	Positive
05/10/2014 20:09	Negative
05/10/2014 20:09	Positive
05/10/2014 20:09	Negative
05/10/2014 20:09	Negative
05/10/2014 20:09	Positive
05/10/2014 20:09	Positive
05/10/2014 20:09	Positive
05/10/2014 20:08	Positive
05/10/2014 20:08	Positive
05/10/2014 20:08	Neutral
05/10/2014 20:07	Negative
05/10/2014 20:07	Neutral
05/10/2014 20:07	Positive
05/10/2014 20:07	Neutral
05/10/2014 20:07	Positive
05/10/2014 20:07	Positive
05/10/2014 20:07	Negative
05/10/2014 20:07	Positive
05/10/2014 20:07	Negative
05/10/2014 20:06	Negative
05/10/2014 20:06	Neutral
05/10/2014 20:06	Positive
05/10/2014 20:06	Positive
05/10/2014 20:06	Positive
05/10/2014 20:06	Positive
05/10/2014 20:06	Neutral
05/10/2014 20:06	Negative
05/10/2014 20:06	Negative
05/10/2014 20:06	Positive
05/10/2014 20:05	Positive
05/10/2014 20:05	Positive
05/10/2014 20:05	Positive
05/10/2014 20:05	Positive
05/10/2014 20:05	Negative
05/10/2014 20:05	Positive
05/10/2014 20:05	Positive
05/10/2014 20:05	Neutral
05/10/2014 20:05	Negative
05/10/2014 20:05	Positive
05/10/2014 20:05	Neutral
05/10/2014 20:04	Positive
05/10/2014 20:04	Neutral
05/10/2014 20:04	Negative
05/10/2014 20:04	Neutral
05/10/2014 20:04	Positive
05/10/2014 20:04	Positive
05/10/2014 20:04	Negative
05/10/2014 20:04	Neutral
05/10/2014 20:03	Positive
05/10/2014 20:03	Positive
05/10/2014 20:03	Positive
05/10/2014 20:03	Neutral
05/10/2014 20:03	Positive
05/10/2014 20:03	Positive
05/10/2014 20:03	Negative
05/10/2014 20:03	Neutral
05/10/2014 20:03	Neutral
05/10/2014 20:03	Positive
05/10/2014 20:03	Negative
05/10/2014 20:03	Neutral
05/10/2014 20:03	Negative
05/10/2014 20:02	Negative
05/10/2014 20:02	Neutral
05/10/2014 20:02	Negative
05/10/2014 20:02	Positive
05/10/2014 20:02	Positive
05/10/2014 20:02	Negative
05/10/2014 20:02	Positive
05/10/2014 20:02	Neutral
05/10/2014 20:02	Positive
05/10/2014 20:02	Positive
05/10/2014 20:01	Negative
05/10/2014 20:01	Negative
05/10/2014 20:01	Negative
05/10/2014 20:01	Neutral
05/10/2014 20:01	Positive
05/10/2014 20:01	Positive
05/10/2014 20:01	Neutral
05/10/2014 20:01	Positive
05/10/2014 20:01	Positive
05/10/2014 20:01	Positive
05/10/2014 20:01	Positive
05/10/2014 20:01	Positive
05/10/2014 20:00	Positive
05/10/2014 20:00	Neutral
05/10/2014 20:00	Positive
05/10/2014 20:00	Positive
05/10/2014 20:00	Positive
05/10/2014 20:00	Positive
05/10/2014 20:00	Negative
05/10/2014 19:59	Neutral
05/10/2014 19:59	Neutral
05/10/2014 19:59	Neutral
05/10/2014 19:59	Positive
05/10/2014 19:59	Neutral
