username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
ArthurKuhn7,2018-06-02 20:38,0,0,#Alckmin2018,,,#Alckmin2018,1.00305842528938E+018,https://twitter.com/ArthurKuhn7/status/1003058425289375745,,
ArthurKuhn7,2018-06-02 20:38,0,0,Parabéns!,,,,1.00305826042397E+018,https://twitter.com/ArthurKuhn7/status/1003058260423970816,,
ResnelMarcos,2018-06-02 20:37,0,0,"Como? se o governo não corta despesas que eles mesmos criam, vai enxugar gelo até o Brasil cair em decadência, quando os políticos quebrarem o Brasil ai eu quero ver o país pegar fogo por falta de verba",,,,1.00305810706334E+018,https://twitter.com/ResnelMarcos/status/1003058107063336961,,
ArthurKuhn7,2018-06-02 20:37,0,0,Linda foto!,,,,1.0030580890531E+018,https://twitter.com/ArthurKuhn7/status/1003058089053097984,,
ArthurKuhn7,2018-06-02 20:37,0,0,#ForçaGeraldo,,,#For,1.00305794583013E+018,https://twitter.com/ArthurKuhn7/status/1003057945830133761,,
ArthurKuhn7,2018-06-02 20:36,0,0,LIBERDADE DEFINE! #Geraldo2018,,,#Geraldo2018,1.00305775996799E+018,https://twitter.com/ArthurKuhn7/status/1003057759967989761,,
ArthurKuhn7,2018-06-02 20:35,0,0,Vamos GERALDO ALCKMIN,,,,1.00305766213587E+018,https://twitter.com/ArthurKuhn7/status/1003057662135865345,,
ArthurKuhn7,2018-06-02 20:30,0,0,#Geraldo2018,,,#Geraldo2018,1.00305633463025E+018,https://twitter.com/ArthurKuhn7/status/1003056334630252544,,
ResnelMarcos,2018-06-02 20:28,0,0,"poxa falar que falta remédio por causa da greve é um erro fatal, o problema nos hospitais não é a greve e sim o dinheiro que deveria ser usado na saúde vai para o bolço de politico, senadores e deputados são os que mais gastam são a perdição do Brasil,",,,,1.00305566687599E+018,https://twitter.com/ResnelMarcos/status/1003055666875990016,,
tremermijel,2018-06-02 20:26,0,0,"Todos batem pesado no @geraldoalckmin Olha só isso! Afif sobre #Alckmin : “Você é meu docinho de coco, mas enjoei de você” #TemerOILuminado",,@geraldoalckmin,#Alckmin #TemerOILuminado,1.00305526665556E+018,https://twitter.com/tremermijel/status/1003055266655555586,,
JosdosSantosPi5,2018-06-02 20:23,0,2,O @geraldoalckmin é muito cara de pau ao sugerir aumento de impostos. Estes políticos são uma vergonha https:// twitter.com/SpitfireAN/sta tus/1002679119514161153 …,,@geraldoalckmin,,1.00305461209665E+018,https://twitter.com/JosdosSantosPi5/status/1003054612096651266,,
ArthurKuhn7,2018-06-02 20:22,0,0,Tem razão Geraldo! #Alckmin45,,,#Alckmin45,1.00305424167251E+018,https://twitter.com/ArthurKuhn7/status/1003054241672507392,,
ArthurKuhn7,2018-06-02 20:21,0,0,Vai dar Geraldo !!!,,,,1.00305407563687E+018,https://twitter.com/ArthurKuhn7/status/1003054075636867072,,
ArthurKuhn7,2018-06-02 20:20,0,0,Falou e disse #GeraldoPresidente,,,#GeraldoPresidente,1.00305381115657E+018,https://twitter.com/ArthurKuhn7/status/1003053811156570118,,
ArthurKuhn7,2018-06-02 20:19,0,0,Vai ganhar pois é o mais preparado !,,,,1.00305355286289E+018,https://twitter.com/ArthurKuhn7/status/1003053552862887936,,
ArthurKuhn7,2018-06-02 20:18,0,0,Tenho certeza que isso tudo não passa de uma fofoca espalhada por pessoas que querem destruir a imagem do Alckmin.,,,,1.0030533117576E+018,https://twitter.com/ArthurKuhn7/status/1003053311757602816,,
ArthurKuhn7,2018-06-02 20:17,0,0,#GeraldoAlckmin2018,,,#GeraldoAlckmin2018,1.00305293474834E+018,https://twitter.com/ArthurKuhn7/status/1003052934748344320,,
ArthurKuhn7,2018-06-02 20:16,0,0,Parabéns pelo excelente trabalho com a PM de SP,,,,1.00305274957821E+018,https://twitter.com/ArthurKuhn7/status/1003052749578211328,,
ArthurKuhn7,2018-06-02 20:15,0,0,Falou e disse #GeraldoPresidente,,,#GeraldoPresidente,1.00305250564594E+018,https://twitter.com/ArthurKuhn7/status/1003052505645944833,,
RenatoL70500543,2018-06-02 20:14,0,0,So pode ser piada ver o senhor falar isso. Gracas a Deus nao tem chance de ganhar. Isso sim me tranquiliza.,,,,1.00305220307723E+018,https://twitter.com/RenatoL70500543/status/1003052203077234693,,
CHENRIQUEVILELA,2018-06-02 20:11,0,1,"Raquel Dodge pede a Gilmar que envie inquérito de Serra à Justiça de SP... Eu explico porque. O procurador-geral, Gianpaolo Smanio, que ""analisa"" esses casos, foi nomeado pelo tucano Geraldo Alckmin . Foi ele que engavetou o caso do Alckmin, inclusive.",,,,1.00305150913384E+018,https://twitter.com/CHENRIQUEVILELA/status/1003051509133840384,,
CarlosCr909,2018-06-02 20:10,0,0,Eu apoio Geraldo Alckmin ! https:// euapoio.geraldoalckmin.com.br /,,,,1.00305134718742E+018,https://twitter.com/CarlosCr909/status/1003051347187417088,,
Ricardo85831017,2018-06-02 20:10,0,0,Vc só twita em celular a preço acessível porque as teles firam privatizadas.,,,,1.00305131414483E+018,https://twitter.com/Ricardo85831017/status/1003051314144825350,,
LuizMS2017,2018-06-02 20:09,0,0,"O cara tá aqui na internet, usando celular ou computador, num programa gratuito, criticando a privatização. É brincadeira!",,,,1.00305109318886E+018,https://twitter.com/LuizMS2017/status/1003051093188861952,,
cvrogerio,2018-06-02 20:09,0,1,"Dou risada desses fakes de merda que não sabem pensar.. Acham que pobre deve pedir esmola, depender do governo. Estudei em escola pública, formei em universidade pública, fiz mestrado em universidade pública, publiquei em universidade europeia. Sem cota, com meu esforço!! Mérito.",,,,1.00305107739737E+018,https://twitter.com/cvrogerio/status/1003051077397372929,,
cvrogerio,2018-06-02 20:06,0,0,"Dívida de 200 bilhões, que adiantou o lucro? pic.twitter.com/y7nNPzysH5",,,,1.00305036124091E+018,https://twitter.com/cvrogerio/status/1003050361240907776,,
cvrogerio,2018-06-02 20:06,0,0,pic.twitter.com/kz2quaHgsQ,,,,1.00305017993793E+018,https://twitter.com/cvrogerio/status/1003050179937931274,,
cvrogerio,2018-06-02 20:06,0,0,Pq privatizar? pic.twitter.com/AOXNWB7q0R,,,,1.00305012528195E+018,https://twitter.com/cvrogerio/status/1003050125281947654,,
ArthurKuhn7,2018-06-02 20:05,0,0,JUNTO DO POVO #GERALDOPRESIDENTE,,,#GERALDOPRESIDENTE,1.00305000485092E+018,https://twitter.com/ArthurKuhn7/status/1003050004850921472,,
ArthurKuhn7,2018-06-02 20:02,0,0,CONHECIMENTO,,,,1.00304935361792E+018,https://twitter.com/ArthurKuhn7/status/1003049353617915904,,
ArthurKuhn7,2018-06-02 20:01,0,0,FALOU E DISSE GERALDO!,,,,1.00304911731942E+018,https://twitter.com/ArthurKuhn7/status/1003049117319421953,,
ArthurKuhn7,2018-06-02 20:01,0,0,Linda atitude !,,,,1.00304894312152E+018,https://twitter.com/ArthurKuhn7/status/1003048943121522689,,
ArthurKuhn7,2018-06-02 19:59,0,0,Falou e disse!,,,,1.00304859828267E+018,https://twitter.com/ArthurKuhn7/status/1003048598282670086,,
ArthurKuhn7,2018-06-02 19:59,0,0,ALCKMIN PRESIDENTE!,,,,1.00304847283517E+018,https://twitter.com/ArthurKuhn7/status/1003048472835166208,,
cvrogerio,2018-06-02 19:59,0,0,"Para depois se tornar a mais endividada, já falei... Não aditivo ganhar um é gastar 3",,,,1.00304839228783E+018,https://twitter.com/cvrogerio/status/1003048392287834112,,
ArthurKuhn7,2018-06-02 19:58,0,0,Geraldo Presidente!,,,,1.00304829701001E+018,https://twitter.com/ArthurKuhn7/status/1003048297010008065,,
cvrogerio,2018-06-02 19:58,0,0,"Kkkkkkkkkkk Pobre de direita é xingar? Conhece alguma europetro ou PetroUSA? Ser de direita é não ser vagabundo, é crescer com os próprios méritos. Algo que vc não deve ser capaz. Vivi, cresci e venci!!!",,,,1.00304819242074E+018,https://twitter.com/cvrogerio/status/1003048192420741122,,
botelhofabio,2018-06-02 19:52,0,0,@geraldoalckmin presidente senador.,,@geraldoalckmin,,1.00304672659131E+018,https://twitter.com/botelhofabio/status/1003046726591307776,,
roque_ivaldi,2018-06-02 19:52,0,0,Então que o @geraldoalckmin reveja sua posição sobre mexer na política de preços da Petrobras para qualquer coisa que seja diferente de livre mercado!,,@geraldoalckmin,,1.00304666018281E+018,https://twitter.com/roque_ivaldi/status/1003046660182814720,,
ArthurKuhn7,2018-06-02 19:51,0,0,Meu Voto e do Geraldo Alckmin,,,,1.00304658278528E+018,https://twitter.com/ArthurKuhn7/status/1003046582785277954,,
ArthurKuhn7,2018-06-02 19:50,0,0,Linda homenagem,,,,1.00304619691354E+018,https://twitter.com/ArthurKuhn7/status/1003046196913541120,,
ArthurKuhn7,2018-06-02 19:49,0,0,Parabéns presidente,,,,1.00304600724717E+018,https://twitter.com/ArthurKuhn7/status/1003046007247171586,,
RodChinelagem,2018-06-02 19:49,0,0,virou PT?,,,,1.00304589474332E+018,https://twitter.com/RodChinelagem/status/1003045894743318529,,
ArthurKuhn7,2018-06-02 19:49,0,0,Já ganhou!!! #GeraldoPresidente,,,#GeraldoPresidente,1.00304584743576E+018,https://twitter.com/ArthurKuhn7/status/1003045847435763712,,
ArthurKuhn7,2018-06-02 19:47,0,0,"Parabéns Geraldo, futuro presidente!",,,,1.00304558685204E+018,https://twitter.com/ArthurKuhn7/status/1003045586852040704,,
ArthurKuhn7,2018-06-02 19:47,0,0,Geraldo Presidente,,,,1.00304535442886E+018,https://twitter.com/ArthurKuhn7/status/1003045354428862466,,
ArthurKuhn7,2018-06-02 19:46,0,0,Parabéns Geraldo!,,,,1.0030451844631E+018,https://twitter.com/ArthurKuhn7/status/1003045184463101952,,
maatheustg,2018-06-02 19:45,0,0,"sou defensor de ricardo, acho que tem um potencial grande, é muito técnico mas precisa melhorar essa bola área e seu jogo físico. tá com físico do geraldo alckmin .",,,,1.00304504936874E+018,https://twitter.com/maatheustg/status/1003045049368743936,,
ArthurKuhn7,2018-06-02 19:45,0,0,Vamos melhorar a segurança pública com #GeraldoPresidente,,,#GeraldoPresidente,1.00304499963275E+018,https://twitter.com/ArthurKuhn7/status/1003044999632752641,,
